CENSUS_NO,EDUCATION_ZONE,EDUCATION_DIVISION,NAME_SCHOOL,MEDIUM,GENDER,SUBJECT_STREAM,INDEX_NO
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,COMMERCE,5849667
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,COMMERCE,5849691
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,COMMERCE,5849705
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,ART,5850088
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,PHYSICAL SCIENCE,5850339
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,PHYSICAL SCIENCE,5850347
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,BIO SCIENCE,5850371
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,BIO SCIENCE,5850428
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,BIO SCIENCE,5850436
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,F,BIO SCIENCE,5850444
