CENSUS_NO,EDUCATION_ZONE,EDUCATION_DIVISION,NAME_SCHOOL,MEDIUM,GENDER,STREAM,INDEX_NO,SUBJECT STREAM,SYLLABUS,DISTRICT RANK,ISLAND RANK,Z-SCORE,PHYSICS,CHEMISTRY,MATHEMATICS,AGRICULTURAL SCIENCE,BIOLOGY,COMBINED MATHEMATICS,HIGHER MATHEMATICS,GENERAL ENGLISH,CIVIL TECHNOLOGY,MECHANICAL TECHNOLOGY,ELECTRICAL ELECTRONIC & INFORMATION TECHNOLOGY,FOOD TECHNOLOGY,AGRO TECHNOLOGY,BIO RESOURCE TECHNOLOGY,INFORMATION & COMMUNICATION TECHNOLOGY,ECONOMICS,GEOGRAPHY,POLITICAL SCIENCE,LOGIC & SCIENTIFIC METHOD,HISTORY OF SRI LANKA & INDIA,HISTORY OF EUROPE,HISTORY OF MODERN WORLD,HOME ECONOMICS,COMMUNICATION & MEDIA STUDIES,BUSINESS STATISTICS,BUSINESS STUDIES,ACCOUNTING,BUDDHISM,HINDUISM,CHRISTIANITY,ISLAM,BUDDHIST CIVILIZATION,HINDU CIVILIZATION,ISLAMIC CIVILIZATION,GREEK & ROMAN CIVILIZATION,CHRISTIAN CIVILIZATION,ART,DANCING (INDIGENOUS),DANCING (BHARATHA),ORIENTAL MUSIC,CARNATIC MUSIC,WESTERN MUSIC,DRAMA & THEATRE (SINHALA),DRAMA & THEATRE (TAMIL),DRAMA & THEATRE (ENGLISH),ENGINEERING TECHNOLOGY,BIO SYSTEMS TECHNOLOGY,SCIENCE FOR TECHNOLOGY,SINHALA,TAMIL,ENGLISH,PALI,SANSKRIT,ARABIC,FRENCH,GERMAN,RUSSIAN,HINDI,CHINESE,JAPANESE,COMMON GENERAL TEST
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,COMMERCE,5849667,-,NEW,-,-,-.7802,,,,,,,,S,,,,,,,,S,,,,,,,,,,S,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,COMMERCE,5849691,COMMERCE,NEW,1145,27475,-.3561,,,,,,,,F,,,,,,,,S,,,,,,,,,,S,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,038
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,COMMERCE,5849705,COMMERCE,NEW,565,12953,.6175,,,,,,,,S,,,,,,,,C,,,,,,,,,,C,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,052
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,ART,5850088,ARTS,NEW,735,11233,1.0390,,,,,,,,F,,,,,,,,,C,,,C,,,,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,052
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,PHYSICAL SCIENCE,5850339,PHYSICAL SCIENCE,NEW,162,4290,.7776,C,C,,,,C,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,068
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,PHYSICAL SCIENCE,5850347,PHYSICAL SCIENCE,NEW,13,403,2.2733,A,A,,,,A,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,062
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,BIO SCIENCE,5850371,BIOLOGICAL SCIENCE,NEW,460,10602,-.3408,S,S,,,S,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,070
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,BIO SCIENCE,5850428,BIOLOGICAL SCIENCE,NEW,207,4790,.6434,C,C,,,C,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,BIO SCIENCE,5850436,-,NEW,-,-,-.1326,S,F,,,C,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,052
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,F,BIO SCIENCE,5850444,PHYSICAL SCIENCE,NEW,350,9133,-.0771,S,C,,,,S,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,060
