CENSUS_NO,EDUCATION_ZONE,EDUCATION_DIVISION,NAME_SCHOOL,MEDIUM,GENDER,INDEX_NO,DISTRICT / MEDIUM CUT OFF MARK,MARK
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812584,156,089
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812592,156,099
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812606,156,155
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,M,2812614,156,054
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,2812673,156,163
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,2812762,156,164
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,M,2812819,156,165
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,2812622,156,139
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,S,F,2812630,156,149
23209,BALANGODA,BALANGODA,ANANDA MAITHRIYA M.M.V.,T,F,2812649,156,122
